"","site_name","site","day","latest_temperature","lon","lat"
"217","Leeds Centre","leed",NA,13.65,"-1.546472","53.80378"
"218","Leeds Headingley Kerbside","led6","2016-06-30",15.95,"-1.576361","53.819972"
"219","Leeds Headingley Kerbside","led6","2016-07-01",12.6,"-1.576361","53.819972"
"220","Leeds Headingley Kerbside","led6","2016-07-02",15,"-1.576361","53.819972"
"221","Leeds Headingley Kerbside","led6","2016-07-03",15.3,"-1.576361","53.819972"
"222","Leeds Headingley Kerbside","led6","2016-07-04",17.5,"-1.576361","53.819972"
"223","Leeds Headingley Kerbside","led6","2016-07-05",21.85,"-1.576361","53.819972"
"224","Leeds Headingley Kerbside","led6",NA,15.9,"-1.576361","53.819972"
"225","Leicester A594 Roadside","leir","2016-06-30",15.1,"-1.124228","52.638677"
"226","Leicester A594 Roadside","leir","2016-07-01",11.7,"-1.124228","52.638677"
"227","Leicester A594 Roadside","leir","2016-07-02",13.4,"-1.124228","52.638677"
"228","Leicester A594 Roadside","leir","2016-07-03",14.1,"-1.124228","52.638677"
"229","Leicester A594 Roadside","leir","2016-07-04",17.2,"-1.124228","52.638677"
"230","Leicester A594 Roadside","leir","2016-07-05",19.5,"-1.124228","52.638677"
"231","Leicester A594 Roadside","leir",NA,15.3,"-1.124228","52.638677"
"232","Leicester University","lecu","2016-06-30",14.7,"-1.127311","52.619823"
"233","Leicester University","lecu","2016-07-01",10,"-1.127311","52.619823"
"234","Leicester University","lecu","2016-07-02",11.6,"-1.127311","52.619823"
"235","Leicester University","lecu","2016-07-03",13.5,"-1.127311","52.619823"
"236","Leicester University","lecu","2016-07-04",16.7,"-1.127311","52.619823"
"237","Leicester University","lecu","2016-07-05",20.9,"-1.127311","52.619823"
"238","Leicester University","lecu",NA,14.7,"-1.127311","52.619823"
"239","Liverpool Speke","lvp","2016-06-30",14.05,"-2.844333","53.34633"
"240","Liverpool Speke","lvp","2016-07-01",11.5,"-2.844333","53.34633"
"241","Liverpool Speke","lvp","2016-07-02",13.35,"-2.844333","53.34633"
"242","Liverpool Speke","lvp","2016-07-03",14.8,"-2.844333","53.34633"
"243","Liverpool Speke","lvp","2016-07-04",15.05,"-2.844333","53.34633"
"244","Liverpool Speke","lvp","2016-07-05",16.4,"-2.844333","53.34633"
"245","Liverpool Speke","lvp",NA,14.15,"-2.844333","53.34633"
"246","London Bexley","bex","2016-06-30",17.4,"0.184806","51.46603"
"247","London Bexley","bex","2016-07-01",12.7,"0.184806","51.46603"
"248","London Bexley","bex","2016-07-02",13.9,"0.184806","51.46603"
"249","London Bexley","bex","2016-07-03",14.6,"0.184806","51.46603"
"250","London Bexley","bex","2016-07-04",17.1,"0.184806","51.46603"
"251","London Bexley","bex","2016-07-05",25.2,"0.184806","51.46603"
"252","London Bexley","bex",NA,17.1,"0.184806","51.46603"
"253","London Bloomsbury","cll2","2016-06-30",15.15,"-0.125889","51.52229"
"254","London Bloomsbury","cll2","2016-07-01",11.1,"-0.125889","51.52229"
"255","London Bloomsbury","cll2","2016-07-02",12.2,"-0.125889","51.52229"
"256","London Bloomsbury","cll2","2016-07-03",14,"-0.125889","51.52229"
"257","London Bloomsbury","cll2","2016-07-04",15.4,"-0.125889","51.52229"
"258","London Bloomsbury","cll2","2016-07-05",20.35,"-0.125889","51.52229"
"259","London Bloomsbury","cll2",NA,15.25,"-0.125889","51.52229"
"260","London Eltham","lon6","2016-06-30",15.6,"0.070766","51.45258"
"261","London Eltham","lon6","2016-07-01",9.8,"0.070766","51.45258"
"262","London Eltham","lon6","2016-07-02",11.5,"0.070766","51.45258"
"263","London Eltham","lon6","2016-07-03",13.4,"0.070766","51.45258"
"264","London Eltham","lon6","2016-07-04",15.3,"0.070766","51.45258"
"265","London Eltham","lon6","2016-07-05",23.9,"0.070766","51.45258"
"266","London Eltham","lon6",NA,15.4,"0.070766","51.45258"
"267","London Harlington","hrl","2016-06-30",16.7,"-0.441614","51.48879"
"268","London Harlington","hrl","2016-07-01",12.4,"-0.441614","51.48879"
"269","London Harlington","hrl","2016-07-02",13.3,"-0.441614","51.48879"
"270","London Harlington","hrl","2016-07-03",14.4,"-0.441614","51.48879"
"271","London Harlington","hrl","2016-07-04",16.1,"-0.441614","51.48879"
"272","London Harlington","hrl","2016-07-05",20,"-0.441614","51.48879"
"273","London Harlington","hrl",NA,16.8,"-0.441614","51.48879"
"274","London Harrow Stanmore","hr3","2016-06-30",15.1,"-0.298777","51.617333"
"275","London Harrow Stanmore","hr3","2016-07-01",10.2,"-0.298777","51.617333"
"276","London Harrow Stanmore","hr3","2016-07-02",10.7,"-0.298777","51.617333"
"277","London Harrow Stanmore","hr3","2016-07-03",13,"-0.298777","51.617333"
"278","London Harrow Stanmore","hr3","2016-07-04",15.4,"-0.298777","51.617333"
"279","London Harrow Stanmore","hr3","2016-07-05",22.1,"-0.298777","51.617333"
"280","London Harrow Stanmore","hr3",NA,15.3,"-0.298777","51.617333"
"281","London Marylebone Road","my1","2016-06-30",16.45,"-0.154611","51.52253"
"282","London Marylebone Road","my1","2016-07-01",12.65,"-0.154611","51.52253"
"283","London Marylebone Road","my1","2016-07-02",14.2,"-0.154611","51.52253"
"284","London Marylebone Road","my1","2016-07-03",15,"-0.154611","51.52253"
"285","London Marylebone Road","my1","2016-07-04",16.55,"-0.154611","51.52253"
"286","London Marylebone Road","my1","2016-07-05",18.5,"-0.154611","51.52253"
"287","London Marylebone Road","my1",NA,16.35,"-0.154611","51.52253"
"288","London N. Kensington","kc1","2016-06-30",16.1,"-0.213492","51.52105"
"289","London N. Kensington","kc1","2016-07-01",11.8,"-0.213492","51.52105"
"290","London N. Kensington","kc1","2016-07-02",13,"-0.213492","51.52105"
"291","London N. Kensington","kc1","2016-07-03",14.05,"-0.213492","51.52105"
"292","London N. Kensington","kc1","2016-07-04",16.15,"-0.213492","51.52105"
"293","London N. Kensington","kc1","2016-07-05",25.95,"-0.213492","51.52105"
"294","London N. Kensington","kc1",NA,16.35,"-0.213492","51.52105"
"295","London Teddington Bushy Park","ted2","2016-06-30",15.9,"-0.345606","51.425286"
"296","London Teddington Bushy Park","ted2","2016-07-01",9.8,"-0.345606","51.425286"
"297","London Teddington Bushy Park","ted2","2016-07-02",10.1,"-0.345606","51.425286"
"298","London Teddington Bushy Park","ted2","2016-07-03",12,"-0.345606","51.425286"
"299","London Teddington Bushy Park","ted2","2016-07-04",15.2,"-0.345606","51.425286"
"300","London Teddington Bushy Park","ted2","2016-07-05",19.8,"-0.345606","51.425286"
"301","London Teddington Bushy Park","ted2",NA,15.9,"-0.345606","51.425286"
"302","Lough Navar","ln","2016-06-30",11.3,"-7.900328","54.43951"
"303","Lough Navar","ln","2016-07-01",10.1,"-7.900328","54.43951"
"304","Lough Navar","ln","2016-07-02",11.1,"-7.900328","54.43951"
"305","Lough Navar","ln","2016-07-03",11.9,"-7.900328","54.43951"
"306","Lough Navar","ln","2016-07-04",11.5,"-7.900328","54.43951"
"307","Lough Navar","ln","2016-07-05",19.2,"-7.900328","54.43951"
"308","Lough Navar","ln",NA,11.1,"-7.900328","54.43951"
"309","Manchester Piccadilly","man3","2016-06-30",13.5,"-2.237881","53.48152"
"310","Manchester Piccadilly","man3","2016-07-01",10.3,"-2.237881","53.48152"
"311","Manchester Piccadilly","man3","2016-07-02",13.4,"-2.237881","53.48152"
"312","Manchester Piccadilly","man3","2016-07-03",15,"-2.237881","53.48152"
"313","Manchester Piccadilly","man3","2016-07-04",14.9,"-2.237881","53.48152"
"314","Manchester Piccadilly","man3","2016-07-05",18.7,"-2.237881","53.48152"
"315","Manchester Piccadilly","man3",NA,13.4,"-2.237881","53.48152"
"316","Middlesbrough","mid","2016-06-30",11.3,"-1.220874","54.569297"
"317","Middlesbrough","mid","2016-07-01",8.2,"-1.220874","54.569297"
"318","Middlesbrough","mid","2016-07-02",10.2,"-1.220874","54.569297"
"319","Middlesbrough","mid","2016-07-03",12.1,"-1.220874","54.569297"
"320","Middlesbrough","mid","2016-07-04",14.3,"-1.220874","54.569297"
"321","Middlesbrough","mid","2016-07-05",22.9,"-1.220874","54.569297"
"322","Middlesbrough","mid",NA,12.05,"-1.220874","54.569297"
"323","Narberth","pemb","2016-06-30",13.2,"-4.691462","51.781784"
"324","Narberth","pemb","2016-07-01",11,"-4.691462","51.781784"
"325","Narberth","pemb","2016-07-02",11.1,"-4.691462","51.781784"
"326","Narberth","pemb","2016-07-03",10.1,"-4.691462","51.781784"
"327","Narberth","pemb","2016-07-04",13.9,"-4.691462","51.781784"
"328","Narberth","pemb","2016-07-05",20.7,"-4.691462","51.781784"
"329","Narberth","pemb",NA,13.1,"-4.691462","51.781784"
"330","Newcastle Centre","newc","2016-06-30",10.25,"-1.610528","54.97825"
"331","Newcastle Centre","newc","2016-07-01",8.75,"-1.610528","54.97825"
"332","Newcastle Centre","newc","2016-07-02",10.6,"-1.610528","54.97825"
"333","Newcastle Centre","newc","2016-07-03",11.85,"-1.610528","54.97825"
"334","Newcastle Centre","newc","2016-07-04",11.85,"-1.610528","54.97825"
"335","Newcastle Centre","newc","2016-07-05",17.05,"-1.610528","54.97825"
"336","Newcastle Centre","newc",NA,8.4,"-1.610528","54.97825"
"337","Newport","npt3","2016-06-30",15.1,"-2.977281","51.601203"
"338","Newport","npt3","2016-07-01",12.7,"-2.977281","51.601203"
"339","Newport","npt3","2016-07-02",14.15,"-2.977281","51.601203"
"340","Newport","npt3","2016-07-03",14.45,"-2.977281","51.601203"
"341","Newport","npt3","2016-07-04",16.65,"-2.977281","51.601203"
"342","Newport","npt3","2016-07-05",22.9,"-2.977281","51.601203"
"343","Newport","npt3",NA,15.15,"-2.977281","51.601203"
